date_first_seen,research_line,baseline_id_or_recipe,introduced_or_first_referenced_by,validation_protocol,comparison_class,score_if_directly_measured,referenced_by,evidence,notes
2026-08-23,teammate_review,TM-RUN-FINAL6H-20260823,teammate_review:TM-RUN-EXTRA90-20260823,same walk-forward four-fold protocol and 1:2:4:8 weights,teammate_review:walk_forward_4fold_wcv_1_2_4_8,unknown,"[""teammate_review:TM-RUN-EXTRA90-20260823"",""teammate_review:TM-TRAIN-OCC-R10-FAST"",""teammate_review:TM-TRAIN-OCC-R12-WIDE"",""teammate_review:TM-TRAIN-OCC-R14-MULTISCALE"",""teammate_review:TM-TRAIN-OCC-R16-BAL"",""teammate_review:TM-TRAIN-OCC-R18-WIDE"",""teammate_review:TM-TRAIN-OCC-R20-SHALLOW"",""teammate_review:TM-TRAIN-OCC-R22-STABLE"",""teammate_review:TM-TRAIN-OCC-R24-MULTISCALE""]","[""evidence/teammate_records.jsonl#TM-RUN-EXTRA90-20260823"",""evidence/teammate_records.jsonl#TM-TRAIN-OCC-R10-FAST"",""evidence/teammate_records.jsonl#TM-TRAIN-OCC-R12-WIDE"",""evidence/teammate_records.jsonl#TM-TRAIN-OCC-R14-MULTISCALE"",""evidence/teammate_records.jsonl#TM-TRAIN-OCC-R16-BAL"",""evidence/teammate_records.jsonl#TM-TRAIN-OCC-R18-WIDE"",""evidence/teammate_records.jsonl#TM-TRAIN-OCC-R20-SHALLOW"",""evidence/teammate_records.jsonl#TM-TRAIN-OCC-R22-STABLE"",""evidence/teammate_records.jsonl#TM-TRAIN-OCC-R24-MULTISCALE""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-23,teammate_review,TM-RUN-FIXEDSTACK-20260823,teammate_review:TM-RUN-FINAL6H-20260823,same walk-forward four-fold protocol and 1:2:4:8 weights,teammate_review:walk_forward_4fold_wcv_1_2_4_8,unknown,"[""teammate_review:TM-RUN-FINAL6H-20260823"",""teammate_review:TM-TRAIN-HURDLE-FAST12"",""teammate_review:TM-TRAIN-HURDLE-STABLE18""]","[""evidence/teammate_records.jsonl#TM-RUN-FINAL6H-20260823"",""evidence/teammate_records.jsonl#TM-TRAIN-HURDLE-FAST12"",""evidence/teammate_records.jsonl#TM-TRAIN-HURDLE-STABLE18""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-24,team_a_current,EXP-037 exact wCV 1.747509863,team_a_current:EXP-053,late-gate artifact analysis; no full LOFO production test,team_a_current:exp-053:comparability_unconfirmed,unknown,"[""team_a_current:EXP-053""]","[""experiments/team_a_current/exp_053_residual_signal_discovery.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-24,team_a_current,EXP-037 strongest-current on fold 2025-10-16,team_a_current:EXP-052,single latest fold; real versus shuffled; residual scale selection,team_a_current:preflight_or_auxiliary_metric,unknown,"[""team_a_current:EXP-052"",""team_a_current:EXP-054"",""team_a_current:EXP-057""]","[""experiments/team_a_current/exp_052_channel_shapley_split.md"",""experiments/team_a_current/exp_054_burst_gap_etx.md"",""experiments/team_a_current/exp_057_production_state_reweight.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-24,team_a_current,UNC component and EXP-037 strongest-current on fold 2025-10-16,team_a_current:EXP-058,single latest fold; real-vs-permuted standalone and slot comparisons,team_a_current:single_fold_protocol,unknown,"[""team_a_current:EXP-058""]","[""experiments/team_a_current/exp_058_dataset_fingerprint.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-24,team_a_current,existing final prediction,team_a_current:EXP-060,no CV in report; test-file construction only,team_a_current:no_comparable_cv,unknown,"[""team_a_current:EXP-060""]","[""experiments/team_a_current/exp_060_level_minus_006.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-24,team_a_current,no-adapt/control on fold 2025-10-16,team_a_current:EXP-056,single latest fold; no-adapt and control comparisons; half-split signs,team_a_current:single_fold_protocol,unknown,"[""team_a_current:EXP-056""]","[""experiments/team_a_current/exp_056_late_unlabeled_etx.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-25,independent_anniversary,STRONGEST_CURRENT pseudo-production reconstruction,independent_anniversary:EXP-058,pseudo-production two recipient halves; ordinary temporal CV unavailable,independent_anniversary:pseudo_production_half_split,unknown,"[""independent_anniversary:EXP-058""]","[""experiments/independent_anniversary/exp_058_exact_anniversary.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-25,team_a_current,external teammate pipeline,team_a_current:EXP-067,test-artifact/hash reconstruction; no canonical full OOF for two components,team_a_current:exp-067:comparability_unconfirmed,unknown,"[""team_a_current:EXP-067""]","[""experiments/team_a_current/exp_067_authoritative_latest_integration.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-25,team_a_current,historical recency-ridge pipeline,team_a_current:EXP-068,historical artifact/recipe audit; exact replay unavailable,team_a_current:no_comparable_cv,unknown,"[""team_a_current:EXP-068""]","[""experiments/team_a_current/exp_068_recency_ridge_predictions.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-25,team_a_current,latest external/canonical solution sought,team_a_current:EXP-066,filesystem audit of 627 NPZ and 83 parquet artifacts,team_a_current:no_comparable_cv,unknown,"[""team_a_current:EXP-066""]","[""experiments/team_a_current/exp_066_latest_delta_compatibility.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
unknown,independent_global_regime,re-anchored table_core overlay; friend STRONGEST_CURRENT reference,independent_global_regime:EXP-057,4 clean temporal folds; calibrated wCV1:2:4:8; re-anchored endpoint because exact X3/B OOF missing,independent_global_regime:calibrated_temporal_4fold_wcv_1_2_4_8,unknown,"[""independent_global_regime:EXP-057""]","[""experiments/independent_global_regime/exp_057_global_regime_occ.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
unknown,team_a_current,same design as EXP-032/EXP-032B,team_a_current:EXP-032-MANIFEST,specified half-panel group A pilot; appended summaries duplicate EXP-032 and EXP-032B,team_a_current:exp-032-manifest:comparability_unconfirmed,unknown,"[""team_a_current:EXP-032-MANIFEST""]","[""experiments/team_a_current/EXP_032_S04_conditional_fresh_seq.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
